СКЛАД;СКЛАД;;Принтер;"HP LJ 4350";150057;CNHXC94120;30*1*01149;Списание;
СКЛАД;СКЛАД;;Коммутатор;"Cisco 2960";139558;FCZ110770QH;30*1*01152;Хранение;
СКЛАД;СКЛАД;;МФУ;"Samsung SCX 4623";140008286;Z2U1BAAB202034R;304140008286;Хранение;
СКЛАД;СКЛАД;;МФУ;"Samsung SCX 5315F";141380;8D66BCL900054E;30*1*00997;Списание;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01011;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";141388;CZC70927FL;30*1*01005;Списание;
СКЛАД;СКЛАД;;Принтер;"HP LJ 4350";130004068;CNHXS29670;30*1*01644;Списание;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";130005107;CZC735518H;30*1*01704;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";130005108;CZC735519J;30*1*01703;Списание;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";130005109;CZC7483V2R;30*1*01702;Списание;
СКЛАД;СКЛАД;;Принтер;"HP LJ 4350";156808;CNHXC94621;30*1*01290;Списание;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140006908;W3018503372;304140006908;Ремонт;
СКЛАД;СКЛАД;;Ноутбук;"HP 4520";130013543;2CE1170C3W;303130013543;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01560;Хранение;
СКЛАД;СКЛАД;;"Межсетевой экран";"cisco ASA 5505";130018541;JMX1525Z16Q;303130018541;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140008814;W3018700802;304140008814;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130014102;3CQ117B715;303130014102;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130014100;CNC104Q66R;303130014100;Хранение;
СКЛАД;СКЛАД;;Маршрутизатор;"cisco 891";130014376;FCZ151390Y7;303130014376;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";123118;CZC6343DZZ;30*1*00646;Списание;
СКЛАД;СКЛАД;;МФУ;"Samsung SCX 4623";140008495;Z2U1BAAB201804T;304140008495;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7700";163279;HUB7411HWR;30*1*01505;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";119238;HUB6320HRS;30*1*00478;Списание;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7700";158469;CZC73541KX;30*1*01767;Списание;
СКЛАД;СКЛАД;;МФУ;"Xerox 4118";140002592;3841637061;304140002592;Списание;
